Speaker,Time,Sex,Date,Club,TT,ON_OFF
Dounia,146,0,7/7/2021,Chamber,0,1
Kostyantyn,134,1,7/7/2021,Chamber,0,1
Ksenia,117,0,7/7/2021,Chamber,1,1
Yana,113,0,7/14/2021,Chamber,0,1
Ruslan,140,1,7/14/2021,Chamber,0,0
Ivan,145,1,7/14/2021,Chamber,0,0
Ruslan,53,1,7/14/2021,Chamber,0,0
Liliya,96,0,7/14/2021,Chamber,0,0
Michael,120,1,7/14/2021,Chamber,0,0
Artem,180,1,7/14/2021,Chamber,1,0
Dounia,110,0,7/21/2021,Chamber,,0
Michael,110,1,7/21/2021,Chamber,,1
Nataly,70,0,7/21/2021,Chamber,,1
Anna,140,0,7/21/2021,Chamber,,1
Marta,105,0,7/25/2021,Changemakers,,1
Bijay,105,0,7/25/2021,Changemakers,,1
Artem,121,1,7/25/2021,Changemakers,,1
Victoria,85,0,7/25/2021,Changemakers,,1
Yulia,132,0,7/25/2021,Changemakers,,0
Heni,160,0,7/25/2021,Changemakers,,0
Genia,90,0,8/4/2021,Chamber,0,0
Olena,45,0,8/4/2021,Chamber,0,0
Kostya,115,1,8/4/2021,Chamber,0,0
Maksym,130,1,8/4/2021,Chamber,0,0
Ihor,115,1,8/4/2021,Chamber,0,0
Yulia,90,0,8/4/2021,Chamber,1,0
Anna,120,0,8/11/2021,Chamber,,0
Ruslan,85,1,8/11/2021,Chamber,,0
Dennis,120,1,8/11/2021,Chamber,,0
Andrew,135,1,8/11/2021,Chamber,,0
Victoria,120,0,8/11/2021,Chamber,,0
Liliya,69,0,8/18/2021,Chamber,,0
Victoria,120,0,8/18/2021,Chamber,,0
Halyna,112,0,8/18/2021,Chamber,,0
Fedor,115,1,8/18/2021,Chamber,,1
Yuriy,108,1,8/18/2021,Chamber,,1
Omae,157,0,8/18/2021,Mieki TMC,,1
Khuyen,120,1,8/18/2021,Mieki TMC,,1
Hide,120,1,8/18/2021,Mieki TMC,,1
Kunishio,99,1,8/18/2021,Mieki TMC,,0
Tsuboshima,144,0,8/18/2021,Mieki TMC,,0
Marwan,104,1,8/25/2021,Chamber,0,0
Maksym,75,1,8/25/2021,Chamber,0,0
Alex,79,1,8/25/2021,Chamber,0,0
Anna,55,0,8/25/2021,Chamber,0,1
Ruslan,59,1,8/25/2021,Chamber,0,1
Nataly,120,0,8/25/2021,Chamber,1,1
Ruslan,120,1,8/25/2021,Chamber,0,1
Michael,129,1,9/1/2021,Chamber,,1
Liliya,174,0,9/1/2021,Chamber,,1
Samuel,145,1,9/1/2021,Chamber,,1
Marta,161,0,9/1/2021,Chamber,,1
Andrew,118,1,9/1/2021,Chamber,,1
Nina,113,0,9/16/2021,KOMA,1,1
Kate,95,0,9/16/2021,KOMA,0,1
Kostyantyn,116,1,9/16/2021,KOMA,0,1
Eugene,140,1,9/16/2021,KOMA,0,0
Oleg,152,1,9/16/2021,KOMA,0,0
Lesia,150,0,9/16/2021,KOMA,0,0
Halyna,145,0,9/23/2021,KOMA,1,0
Oleg,143,1,9/23/2021,KOMA,0,0
Lyudmyla,125,0,9/23/2021,KOMA,0,1
Nina,66,0,9/23/2021,KOMA,0,1
Victoria,89,0,9/23/2021,KOMA,0,1
Olena,100,0,9/29/2021,Chamber,,1
Lyudmyla,65,0,9/29/2021,Chamber,,1
Tati,77,0,9/29/2021,Chamber,,1
Samuel,133,1,9/29/2021,Chamber,,1
Svetlana,92,0,9/29/2021,Chamber,,1
Yulia,110,0,9/29/2021,Chamber,,1
Andrew,106,1,10/1/2021,Svoya Rubashka,,1
Mykola,128,1,10/1/2021,Svoya Rubashka,,1
Maryna ,137,0,10/1/2021,Svoya Rubashka,,0
Dmytro ,111,1,10/1/2021,Svoya Rubashka,,0
Kate,106,0,10/1/2021,Svoya Rubashka,,0
Larysa,81,0,10/1/2021,Svoya Rubashka,,0
Myla,85,0,10/1/2021,Svoya Rubashka,,0
Tymofii,92,1,10/1/2021,Svoya Rubashka,,0
Anna,85,0,10/1/2021,Svoya Rubashka,,1
Ihor,75,1,10/1/2021,Svoya Rubashka,,1
Artem,202,1,10/1/2021,Svoya Rubashka,,1
Dmytro ,100,1,10/1/2021,Svoya Rubashka,,1
Svetlana,95,0,10/6/2021,Chamber,,1
Alex,89,1,10/6/2021,Chamber,,1
Liliya,89,0,10/6/2021,Chamber,,1
Anastasia,88,0,10/6/2021,Chamber,,1
Andrew,54,1,10/13/2021,Chamber,0,1
Dennis,100,1,10/13/2021,Chamber,0,1
Maksym,90,1,10/13/2021,Chamber,0,1
Marta,90,0,10/13/2021,Chamber,1,1
Serg,15,1,10/13/2021,Chamber,0,0
Anna,180,0,10/13/2021,Chamber,0,0
Ruslan,48,1,10/13/2021,Chamber,0,0
Kyrylo,35,1,10/13/2021,Svoya Rubashka,0,0
Vasyl,110,1,10/13/2021,Svoya Rubashka,0,1
Artem,164,1,10/13/2021,Svoya Rubashka,0,1
Olena,35,0,10/13/2021,Svoya Rubashka,0,1
Myla,45,0,10/13/2021,Svoya Rubashka,0,1
Dmytro,120,1,10/13/2021,Svoya Rubashka,0,1
Olena,197,0,10/13/2021,Svoya Rubashka,0,1
Yuriy,135,1,10/13/2021,Svoya Rubashka,0,1
Kate,32,0,10/13/2021,Svoya Rubashka,0,1
Myroslav,63,1,10/13/2021,Svoya Rubashka,0,1
Vasyl,155,1,10/13/2021,Svoya Rubashka,0,1
Nataly,121,0,10/13/2021,Svoya Rubashka,1,1
Vlad,121,1,10/13/2021,Svoya Rubashka,0,1
Yaroslav,77.41,1,10/20/2021,Svoya Rubashka,0,1
Roman,43.63,1,10/20/2021,Svoya Rubashka,0,1
Vasyl,141.85,1,10/20/2021,Svoya Rubashka,0,1
Kate,97.64,0,10/20/2021,Svoya Rubashka,0,1
Kate,57.21,0,10/20/2021,Svoya Rubashka,0,1
Maryna,66.01,0,10/20/2021,Svoya Rubashka,0,1
Vadym,105.74,1,10/20/2021,Svoya Rubashka,1,1
Yulia,56.14,0,10/20/2021,Svoya Rubashka,0,1
Vlad,46.98,1,10/20/2021,Svoya Rubashka,0,1
Kate,75.03,0,10/20/2021,Svoya Rubashka,0,1
Ivan,49,1,10/20/2021,Chamber,0,1
Anna,155,0,10/20/2021,Chamber,0,1
Dounia,96,0,10/20/2021,Chamber,0,1
Alex,68,1,10/20/2021,Chamber,0,1
Sergiy,104,1,10/20/2021,Chamber,0,1
Ruslan,69,1,10/20/2021,Chamber,0,1
Maksym,81,1,10/20/2021,Chamber,1,1
Halyna,102,0,10/21/2021,KOMA,0,1
Kate,90,0,10/21/2021,KOMA,0,1
Lyudmyla,90,0,10/21/2021,KOMA,0,1
Olena,199,0,10/21/2021,KOMA,1,1
Michael,109,1,10/21/2021,KOMA,0,1
Ilko,100,1,10/21/2021,KOMA,0,1
Oleg,224,1,10/21/2021,KOMA,0,1
Francisco,177,0,10/27/2021,Chamber,,1
Alex,106,1,10/27/2021,Chamber,,1
Olena,119,0,10/27/2021,Chamber,,1
Dounia,103,0,10/27/2021,Chamber,,1
Lubov,55,0,10/27/2021,Chamber,,1
Maksym,123,1,10/27/2021,Chamber,,1
Nataly,74,0,10/27/2021,Chamber,,1
Nina,80,0,10/28/2021,KOMA,0,1
Oleg,150,1,10/28/2021,KOMA,0,0
Oksana,80,0,10/28/2021,KOMA,1,0
Kate,120,0,10/28/2021,KOMA,0,0
Alex,110,1,10/28/2021,KOMA,0,0
Vitalina,110,0,10/28/2021,KOMA,0,0
Roman,60,1,10/28/2021,KOMA,0,0
Marta,40,0,11/3/2021,Chamber,,0
Alex,80,1,11/3/2021,Chamber,,1
Lesia,96,0,11/3/2021,Chamber,,1
Ruslan,90,1,11/3/2021,Chamber,,1
Alex,86,1,11/3/2021,Chamber,,1
Olena,71,0,11/3/2021,Svoya Rubashka,0,1
Yaroslav,75,1,11/3/2021,Svoya Rubashka,0,1
Illia,73,1,11/3/2021,Svoya Rubashka,0,1
Roman,76,1,11/3/2021,Svoya Rubashka,0,1
Kate,98,0,11/3/2021,Svoya Rubashka,0,1
Oksana,68,0,11/3/2021,Svoya Rubashka,0,1
Yuriy,121,1,11/3/2021,Svoya Rubashka,0,1
Oksana,98,0,11/3/2021,Svoya Rubashka,0,1
Yuriy,138,1,11/3/2021,Svoya Rubashka,0,1
Dmytro,136,1,11/3/2021,Svoya Rubashka,0,1
Ksenia,112,0,11/3/2021,Svoya Rubashka,1,1
Larysa,268,0,11/4/2021,KOMA,0,1
Vitalina,148,0,11/4/2021,KOMA,0,1
Arman,169,1,11/4/2021,KOMA,0,1
Lyudmyla,125,0,11/4/2021,KOMA,0,1
Oleg,130,1,11/4/2021,KOMA,0,1
Michael,124,1,11/5/2021,KOMA,1,1
Eric,100,1,11/7/2021,Dniprohills,0,1
Vadym,115,1,11/7/2021,Dniprohills,0,1
Myroslava,125,0,11/7/2021,Dniprohills,1,1
Eugene,34,1,11/7/2021,Dniprohills,0,1
Alex ,161,1,11/7/2021,Dniprohills,0,1
Vlad,115,1,11/7/2021,Dniprohills,0,1
Volodymyr,61,1,11/7/2021,Dniprohills,0,1
Maksym,119,1,11/7/2021,Dniprohills,0,1
Katrina,189,0,11/7/2021,Dniprohills,0,1
Vadym,83,1,11/7/2021,Dniprohills,1,1
Victoria,60,0,11/7/2021,Dniprohills,0,1
Myroslava,82,0,11/7/2021,Dniprohills,0,1
Maksym,111,1,11/7/2021,Dniprohills,0,1
Volodymyr,91,1,11/7/2021,Dniprohills,0,1
Eric,75,1,11/7/2021,Dniprohills,0,1
Sukham,73,0,11/7/2021,Dniprohills,0,1
Katrina,177,0,11/7/2021,Dniprohills,0,1
Yuriy,150,1,11/10/2021,Svoya Rubashka,,1
Alina,90,0,11/10/2021,Svoya Rubashka,,1
Kyrylo,78,1,11/10/2021,Svoya Rubashka,,1
Eugene,150,1,11/10/2021,Svoya Rubashka,,1
Sophia,102,0,11/10/2021,Svoya Rubashka,,1
Illia,150,1,11/10/2021,Svoya Rubashka,,1
Danylo,110,1,11/10/2021,Svoya Rubashka,,1
Dmytro,140,1,11/10/2021,Svoya Rubashka,,1
Kate,95,0,11/10/2021,Svoya Rubashka,,1
Roman,77,1,11/10/2021,Svoya Rubashka,,1
Sophia,110,0,11/10/2021,Svoya Rubashka,,1
Yulia,90,0,11/10/2021,Svoya Rubashka,,1
Anna,153,0,11/10/2021,Svoya Rubashka,,1
Alina,110,0,11/10/2021,Svoya Rubashka,,1
Dmytro,120,1,11/10/2021,Svoya Rubashka,,1
Anastasia,75,0,11/10/2021,Svoya Rubashka,,1
Illia,148,1,11/10/2021,Svoya Rubashka,,1
Dmytro,115,1,11/10/2021,Svoya Rubashka,,1
Sophia,105,0,11/10/2021,Svoya Rubashka,,1
Dennis,69,1,11/10/2021,Chamber,,1
Anna,58,0,11/10/2021,Chamber,,1
Narvan,51,0,11/10/2021,Chamber,,1
Kostya,48,1,11/10/2021,Chamber,,1
Dounia,95,0,11/10/2021,Chamber,,1
Lyudmyla,194,0,11/11/2021,KOMA,0,1
Larysa,140,0,11/11/2021,KOMA,0,1
Kate,136,0,11/11/2021,KOMA,0,1
Roman,156,1,11/11/2021,KOMA,0,0
Oleksandr,281,1,11/11/2021,KOMA,1,0
Kate,234,0,11/11/2021,KOMA,0,0
Veronika,121,0,11/17/2021,Svoya Rubashka,,0
Veronika,169,0,11/17/2021,Svoya Rubashka,,0
Veronika,114,0,11/17/2021,Svoya Rubashka,,1
Jessica,124,0,11/17/2021,Svoya Rubashka,,1
Veronika,139,0,11/17/2021,Svoya Rubashka,,1
Sophia,77,0,11/17/2021,Svoya Rubashka,,1
Sophia,148,0,11/17/2021,Svoya Rubashka,,1
Andrew,225,1,11/17/2021,Svoya Rubashka,,1
Kyrylo,131,1,11/17/2021,Svoya Rubashka,,1
Maryna,123,0,11/17/2021,Svoya Rubashka,,1
Olha,135,0,11/17/2021,Svoya Rubashka,,1
Roman,137,1,11/17/2021,Svoya Rubashka,,1
Yulia,102,0,11/17/2021,Svoya Rubashka,,1
Lyudmyla,132,0,11/18/2021,KOMA,0,1
Lesia,110,0,11/18/2021,KOMA,0,1
Nina,105,0,11/18/2021,KOMA,0,1
Oksana,110,0,11/18/2021,KOMA,0,1
Olha,165,0,11/18/2021,KOMA,0,1
Iryna,80,0,11/18/2021,KOMA,0,1
Ihor,150,1,11/18/2021,KOMA,1,1
Volodymyr,110,1,11/20/2021,Arttalkers,0,1
Anastasia,90,0,11/20/2021,Arttalkers,0,1
Andrew,90,1,11/20/2021,Arttalkers,1,1
Alex,60,1,11/20/2021,Arttalkers,0,1
Vadym,110,1,11/20/2021,Arttalkers,0,1
Margaryta,70,0,11/20/2021,Arttalkers,0,1
Andrew,140,1,11/20/2021,Arttalkers,0,1
Tetiana,100,0,11/20/2021,Arttalkers,0,1
Stanislav,130,1,11/21/2021,Dniprohills,0,1
Eugene,65,1,11/21/2021,Dniprohills,0,1
Lesia,150,0,11/21/2021,Dniprohills,0,1
Nataly,30,0,11/21/2021,Dniprohills,0,1
Lesia,77,0,11/21/2021,Dniprohills,0,1
Andrew,90,1,11/21/2021,Dniprohills,1,1
Tetiana,79,0,11/21/2021,Dniprohills,0,1
Oleksandr,50,1,11/21/2021,Dniprohills,0,1
Vadym,127,1,11/21/2021,Dniprohills,0,1
Andrew,58,1,11/21/2021,Dniprohills,1,1
Anna,90,0,11/25/2021,KOMA,1,1
Oleg,110,1,11/25/2021,KOMA,0,1
Nina,85,0,11/25/2021,KOMA,0,1
Iryna,68,0,11/25/2021,KOMA,0,1
Roman,80,1,11/25/2021,KOMA,0,1
Nataly,56,0,11/27/2021,Arttalkers,0,1
Margaryta,113,0,11/27/2021,Arttalkers,0,1
Vadym,113,1,11/27/2021,Arttalkers,0,1
Daria,92,0,11/27/2021,Arttalkers,0,1
Eric,83,1,11/27/2021,Arttalkers,0,1
Nataly,76,0,11/27/2021,Arttalkers,1,1
Vadym,103,1,11/27/2021,Arttalkers,0,1
Filimon,80,1,11/27/2021,Arttalkers,0,1
Anna,80,0,11/27/2021,Arttalkers,0,1
Inna,39,0,11/27/2021,Arttalkers,0,1
Joe,37,1,11/27/2021,Arttalkers,0,1
Sasha,40,1,11/27/2021,Arttalkers,0,1
Margaryta,83,0,11/28/2021,Dniprohills,0,1
Mariya,36,0,11/28/2021,Dniprohills,0,1
Lesia,89,0,11/28/2021,Dniprohills,0,1
Volodymyr,168,1,11/28/2021,Dniprohills,0,1
Joe,85,1,11/28/2021,Dniprohills,0,1
Mariya,117,0,11/28/2021,Dniprohills,0,1
Andrew,123,1,11/28/2021,Dniprohills,1,1
Eugene,119,1,11/28/2021,Dniprohills,0,1
Oleksandr,81,1,11/28/2021,Dniprohills,0,1
Vadym,90,1,12/1/2021,Chamber,0,1
Margaryta,131,0,12/1/2021,Chamber,0,1
Andrew,119,1,12/1/2021,Chamber,0,1
Anna,118,0,12/1/2021,Chamber,1,1
Vlada,120,0,12/1/2021,Chamber,0,1
Karina,153,0,12/1/2021,Svoya Rubashka,,1
Olena,140,0,12/1/2021,Svoya Rubashka,,1
Veronika,197,0,12/1/2021,Svoya Rubashka,,1
Yana,117,0,12/1/2021,Svoya Rubashka,,1
Sophia,72,0,12/1/2021,Svoya Rubashka,,1
Yuriy,140,1,12/1/2021,Svoya Rubashka,,1
Tetiana,150,0,12/1/2021,Svoya Rubashka,,1
Yulia,94,0,12/1/2021,Svoya Rubashka,,1
Andrew,56,1,12/1/2021,Svoya Rubashka,,1
Ihor,140,1,12/1/2021,Svoya Rubashka,,1
Olena,157,0,12/1/2021,Svoya Rubashka,,1
Ihor,102,1,12/1/2021,Svoya Rubashka,,1
Yana,147,0,12/1/2021,Svoya Rubashka,,1
Andrew,73,1,12/1/2021,Svoya Rubashka,,1
Veronika,148,0,12/1/2021,Svoya Rubashka,,1
Karina,151,0,12/1/2021,Svoya Rubashka,,1
Roman,95,1,12/2/2021,KOMA,0,1
Olena,119,0,12/2/2021,KOMA,0,1
Kate,113,0,12/2/2021,KOMA,0,1
Lyudmyla,116,0,12/2/2021,KOMA,0,1
Roman,137,1,12/2/2021,KOMA,0,1
Oleg,105,1,12/2/2021,KOMA,0,1
Vadym,82,1,12/2/2021,KOMA,0,1
Ihor,90,1,12/2/2021,KOMA,1,1
Kate,105,0,12/2/2021,KOMA,0,1
Svetlana,130,0,12/8/2021,Chamber,,1
Liliya,70,0,12/8/2021,Chamber,,1
Martin,220,1,12/8/2021,Chamber,,1
Artem,69,1,12/8/2021,Chamber,,1
Nataly,189,0,12/8/2021,Chamber,,1
Sophia,104,0,12/8/2021,Svoya Rubashka,0,1
Iryna,108,0,12/8/2021,Svoya Rubashka,0,1
Jessica,120,0,12/8/2021,Svoya Rubashka,0,1
Vadym,109,1,12/8/2021,Svoya Rubashka,0,0
Maryna,130,0,12/8/2021,Svoya Rubashka,0,0
Kyrylo,121,1,12/8/2021,Svoya Rubashka,0,0
Yana,119,0,12/8/2021,Svoya Rubashka,0,0
Yulia,103,0,12/8/2021,Svoya Rubashka,1,0
Lyudmyla,118,0,12/9/2021,KOMA,0,1
Lyudmyla,195,0,12/9/2021,KOMA,0,1
Oleksandr,160,1,12/9/2021,KOMA,0,1
Nataly,180,0,12/9/2021,KOMA,0,1
Oksana,195,0,12/9/2021,KOMA,1,1
Andrew,60,1,12/11/2021,Arttalkers,0,1
Anastasia,120,0,12/11/2021,Arttalkers,0,1
Khrystyna,106,0,12/11/2021,Arttalkers,0,1
Oleksandr,114,1,12/11/2021,Arttalkers,0,1
Vlad,125,1,12/11/2021,Arttalkers,1,1
Kevin,115,1,12/11/2021,Arttalkers,1,1
Filimon,90,1,12/11/2021,Arttalkers,0,1
Tetiana,83,0,12/11/2021,Arttalkers,0,1
Nataly,120,0,12/11/2021,Arttalkers,0,1
Anna,90,0,12/11/2021,Arttalkers,0,1
Nataly,60,0,12/11/2021,Arttalkers,1,1
Volodymyr,110,1,12/12/2021,Dniprohills,0,1
Zoya,75,0,12/12/2021,Dniprohills,1,1
Nikolay,134,1,12/12/2021,Dniprohills,0,1
Eric,90,1,12/12/2021,Dniprohills,0,1
Mrynal,140,1,12/12/2021,Dniprohills,0,1
Victoria,108,0,12/12/2021,Dniprohills,0,1
Olena,134,0,12/12/2021,Dniprohills,0,1
Eugene,60,1,12/12/2021,Dniprohills,0,1
Oleksandr,125,1,12/12/2021,Dniprohills,0,1
Kevin,120,1,12/12/2021,Dniprohills,0,1
Vitaliy,76,1,12/12/2021,Dniprohills,0,1
Dennis,86,1,12/22/2021,Chamber,,1
Nataly,136,0,12/22/2021,Chamber,,1
Liliya,98,0,12/22/2021,Chamber,,1
Artem,117,1,12/22/2021,Chamber,,1
Dounia,188,0,12/22/2021,Chamber,,1
Victoria,124,0,12/22/2021,Chamber,,1
Andrew,196,1,12/22/2021,Chamber,,1
Andrew,110,1,12/22/2021,Chamber,,1
Lyudmyla,152.86,0,12/26/2021,Dniprohills,,0
Victoria,122.98,0,12/26/2021,Dniprohills,,0
Nikolay,42.23,1,12/26/2021,Dniprohills,,0
Tetiana,95.87,0,12/26/2021,Dniprohills,,0
Sergiy,145.74,1,12/26/2021,Dniprohills,,0
Jake,92.6,1,12/26/2021,Dniprohills,,0
Myroslava,102.85,0,12/26/2021,Dniprohills,,0
Kevin,130,1,12/26/2021,Dniprohills,,0
Bohdan,92.24,1,12/26/2021,Dniprohills,,1
Eric,90,1,1/9/2022,Dniprohills,,1
Nikolay,140,1,1/9/2022,Dniprohills,,1
MinPoh,80,0,1/9/2022,Dniprohills,,1
Barash,100,1,1/9/2022,Dniprohills,,1
Bohdan,95,1,1/9/2022,Dniprohills,,1
Victoria,114,0,1/9/2022,Dniprohills,,1
Sergiy,70,1,1/9/2022,Dniprohills,,1
Nataly,145,0,1/9/2022,Dniprohills,,1
Timur,137,1,1/20/2022,KOMA,1,1
Maksym,70,1,1/20/2022,KOMA,0,1
Larysa,140,0,1/20/2022,KOMA,0,1
Karina,89,0,1/20/2022,KOMA,0,1
Oleg,180,1,1/20/2022,KOMA,0,1
Vlad,107,1,1/26/2022,Chamber,,1
Albert,117,1,1/26/2022,Chamber,,1
Valerii,67,1,1/26/2022,Chamber,,1
Anton,140,1,1/26/2022,Chamber,,1
Svetlana,133,0,1/26/2022,Chamber,,1
Ruslan,117,1,1/26/2022,Chamber,,1
Olha,114,0,2/3/2022,KOMA,0,1
Vitaliy,112,1,2/3/2022,KOMA,0,1
Maksym,101,1,2/3/2022,KOMA,0,1
Olena,307,0,2/3/2022,KOMA,1,1
Roman,180,1,2/3/2022,KOMA,0,1
Oksana,152,0,2/3/2022,KOMA,0,1
Nishimura,110,0,3/23/2022,Sakae TMC,0,1
Ani,93,0,3/23/2022,Sakae TMC,0,1
Kawamoto,105,1,3/23/2022,Sakae TMC,0,1
Satomi,114,0,3/23/2022,Sakae TMC,0,1
Vadym,105,1,3/23/2022,Sakae TMC,1,1
Hiroko,90,0,4/5/2022,Nagasaki TMC,0,1
Mai,137,0,4/5/2022,Nagasaki TMC,0,1
Vadym,130,1,4/5/2022,Nagasaki TMC,1,1
Akira,104,1,4/5/2022,Nagasaki TMC,0,0
Kyrylo,131,1,4/6/2022,Svoya Rubashka,,0
Mariya,45,0,4/6/2022,Svoya Rubashka,,0
Volodymyr,24,1,4/6/2022,Svoya Rubashka,,0
Svetlana,41,0,4/6/2022,Svoya Rubashka,,0
Andrew,89,1,4/6/2022,Svoya Rubashka,,0
Makar,84,1,4/6/2022,Svoya Rubashka,,0
Mariya,87,0,4/6/2022,Svoya Rubashka,,0
Svetlana,39,0,4/6/2022,Svoya Rubashka,,0
Ivan,99,1,4/6/2022,Svoya Rubashka,,0
Volodymyr,53,1,4/6/2022,Svoya Rubashka,,0
Ruth,156,1,4/6/2022,Chamber,,0
Victoria,142,0,4/6/2022,Chamber,,0
Kostya,142,1,4/6/2022,Chamber,,0
Yaroslav,160,1,4/6/2022,Chamber,,0
Dennis,112,1,4/6/2022,Chamber,,0
Alex,76,1,4/6/2022,Chamber,,0
Olena,76,0,4/6/2022,Chamber,,0
Paul,53,1,4/6/2022,Chamber,,0
Nataly,100,0,4/6/2022,Chamber,,0
Yuki,107,0,4/9/2022,Kichijoji TMC,0,0
Kyoko,117,0,4/9/2022,Kichijoji TMC,0,0
Vadym,103,1,4/9/2022,Kichijoji TMC,0,0
Lily,96,0,4/9/2022,Kichijoji TMC,1,0
Yamada,89,1,4/9/2022,Kichijoji TMC,0,0
Junro,156,1,4/9/2022,Kichijoji TMC,0,0
Seiko,90,0,4/9/2022,Kichijoji TMC,0,0
Lily,193,0,4/9/2022,Kichijoji TMC,0,0
Sam,116,1,4/9/2022,Kichijoji TMC,0,0
Yuki,103,1,4/9/2022,Kichijoji TMC,0,0
Vadym,120,1,4/9/2022,Kichijoji TMC,0,0
Yamada,78,1,4/9/2022,Kichijoji TMC,1,0
Miho,92,1,4/9/2022,Kichijoji TMC,0,0
Nataly,113,0,4/9/2022,Dniprohills/Arttalkers,0,0
Peggy,88,0,4/9/2022,Dniprohills/Arttalkers,0,0
Ron,36,1,4/9/2022,Dniprohills/Arttalkers,0,0
Nataly,201,0,4/9/2022,Dniprohills/Arttalkers,0,0
Diana,106,0,4/9/2022,Dniprohills/Arttalkers,0,0
Nick,119,1,4/9/2022,Dniprohills/Arttalkers,0,0
Daria,100,0,4/9/2022,Dniprohills/Arttalkers,0,0
Eddie,79,1,4/9/2022,Dniprohills/Arttalkers,0,0
Brenda,65,0,4/9/2022,Dniprohills/Arttalkers,0,0
Philip,85,1,4/9/2022,Dniprohills/Arttalkers,0,0
Gary,101,1,4/9/2022,Dniprohills/Arttalkers,1,0
Diana,173,0,4/9/2022,Dniprohills/Arttalkers,0,0
Giannis,134,1,4/9/2022,Dniprohills/Arttalkers,0,0
Keith,101,1,4/9/2022,Dniprohills/Arttalkers,0,0
Lyudmyla,141,0,4/9/2022,Dniprohills/Arttalkers,0,0
Linda,123,0,4/9/2022,Dniprohills/Arttalkers,1,0
Mariya,58,0,4/13/2022,Svoya Rubashka,,0
Volodymyr,82,1,4/13/2022,Svoya Rubashka,,0
Maksym,28,1,4/13/2022,Svoya Rubashka,,0
Varvara,118,0,4/13/2022,Svoya Rubashka,,0
Mariya,94,0,4/13/2022,Svoya Rubashka,,0
Ivan,111,1,4/13/2022,Svoya Rubashka,,0
Maksym,88,1,4/13/2022,Svoya Rubashka,,0
Mariya,103,0,4/13/2022,Svoya Rubashka,,0
Ivan,101,1,4/13/2022,Svoya Rubashka,,0
Varvara,91,0,4/13/2022,Svoya Rubashka,,0
Mariya,63,0,4/13/2022,Svoya Rubashka,,0
Ivan,106,1,4/13/2022,Svoya Rubashka,,0
Mariya,40,0,4/13/2022,Svoya Rubashka,,0
Graham,103,1,4/16/2022,Dniprohills/Arttalkers,0,0
Nikolina,92,0,4/16/2022,Dniprohills/Arttalkers,0,0
Staschuk,100,0,4/16/2022,Dniprohills/Arttalkers,0,0
Daria,90,0,4/16/2022,Dniprohills/Arttalkers,0,0
Daria,57,0,4/16/2022,Dniprohills/Arttalkers,0,0
Gary,147,1,4/16/2022,Dniprohills/Arttalkers,0,0
Vitaliy,147,1,4/16/2022,Dniprohills/Arttalkers,1,0
Rochelle,75,0,4/20/2022,Chamber,,0
Yaroslav,119,1,4/20/2022,Chamber,,0
Anastasia,80,0,4/20/2022,Chamber,,0
Vadym,101,1,4/20/2022,Chamber,,0
Victoria,120,0,4/20/2022,Chamber,,0
Lubov,50,0,4/20/2022,Chamber,,0
Olha,75,0,4/20/2022,Chamber,,0
Yulia,135,0,4/20/2022,Chamber,,0
Alex,106,1,4/20/2022,Chamber,,0
Ivan,90,1,4/27/2022,Svoya Rubashka,,0
